Drug_A,Drug_A_SMILES,Drug_B,Drug_B_SMILES,A_MW,B_MW,Delta_MW,A_LogP,B_LogP,Delta_LogP,A_HBD,B_HBD,Delta_HBD,A_HBA,B_HBA,Delta_HBA,A_TPSA,B_TPSA,Delta_TPSA,A_Rotatable_Bonds,B_Rotatable_Bonds,Delta_Rotatable_Bonds,A_pKa_Acidic,B_pKa_Acidic,Delta_pKa_Acidic,A_pKa_Basic,B_pKa_Basic,Delta_pKa_Basic,A_Solubility_mg_ml,B_Solubility_mg_ml,Delta_Solubility_mg_ml,Chemical_Distance,Tanimoto_Similarity,Oral_Compatibility_Label
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,130.08,506.6,-376.52,-0.66,4.42,-5.08,2,1,1,3,9,-6,58.2,75,-16.8,0,7,-7,7.18,10.27,-3.09,-8,7.94,-15.94,5.86,0.0159,5.8441,377.4376001,0.064935065,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Abraxane,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,130.08,853.9,-723.82,-0.66,3.54,-4.2,2,4,-2,3,14,-11,58.2,221,-162.8,0,14,-14,7.18,11.9,-4.72,-8,-1.2,-6.8,5.86,0.00556,5.85444,742.1998823,0.03960396,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Afinitor,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,130.08,958.2,-828.12,-0.66,5.01,-5.67,2,3,-1,3,14,-11,58.2,205,-146.8,0,9,-9,7.18,9.96,-2.78,-8,-2.7,-5.3,5.86,0.00163,5.85837,841.2123764,0.041666667,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Alpelisib,CC1=C(SC(=N1)NC(=O)N2CCC[C@H]2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,130.08,441.5,-311.42,-0.66,2.81,-3.47,2,2,0,3,8,-5,58.2,129,-70.8,0,4,-4,7.18,7.79,-0.61,-8,2.81,-10.81,5.86,0.00528,5.85472,319.6867267,0.052631579,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,130.08,293.4,-163.32,-0.66,1.58,-2.24,2,0,2,3,4,-1,58.2,78.3,-20.1,0,4,-4,7.18,1.4,5.78,-8,2,-10,5.86,0.0661,5.7939,165.1376023,0.039215686,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Aredia,C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],130.08,279.03,-148.95,-0.66,-4.5,3.84,2,4,-2,3,8,-5,58.2,167,-108.8,0,4,-4,7.18,0.67,6.51,-8,9.86,-17.86,5.86,15.8,-9.94,185.8586866,0.052631579,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Arimidex,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,130.08,293.4,-163.32,-0.66,2.31,-2.97,2,0,2,3,4,-1,58.2,78.3,-20.1,0,4,-4,7.18,1.4,5.78,-8,2,-10,5.86,0.0661,5.7939,165.1491174,0.039215686,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Aromasin,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,130.08,296.4,-166.32,-0.66,2.67,-3.33,2,0,2,3,2,1,58.2,34.1,24.1,0,0,0,7.18,0,7.18,-8,-5,-3,5.86,0.00683,5.85317,168.3866185,0.071428571,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Avgemsi,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,130.08,299.66,-169.58,-0.66,0.14,-0.8,2,4,-2,3,6,-3,58.2,108,-49.8,0,2,-2,7.18,11.52,-4.34,-8,3.65,-11.65,5.86,22.3,-16.44,177.9884493,0.090909091,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Beizray,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,130.08,807.9,-677.82,-0.66,2.4,-3.06,2,5,-3,3,14,-11,58.2,224,-165.8,0,13,-13,7.18,11.9,-4.72,-8,-3,-5,5.86,0.0127,5.8473,698.082678,0.038461538,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Capecitabine,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,130.08,359.35,-229.27,-0.66,1.17,-1.83,2,3,-1,3,7,-4,58.2,121,-62.8,0,7,-7,7.18,8.63,-1.45,-8,0.073,-8.073,5.86,0.248,5.612,238.0686711,0.125,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Capivasertib,C1CN(CCC1(C(=O)N[C@@H](CCO)C2=CC=C(C=C2)Cl)N)C3=NC=NC4=C3C=CN4,130.08,428.9,-298.82,-0.66,1.131,-1.791,2,4,-2,3,6,-3,58.2,120,-61.8,0,6,-6,7.18,13.03,-5.85,-8,8.33,-16.33,5.86,0.0253,5.8347,305.7773294,0.070422535,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Cyclophosphamide,C1CNP(=O)(OC1)N(CCCl)CCCl,130.08,261.08,-131,-0.66,0.76,-1.42,2,1,1,3,4,-1,58.2,41.6,16.6,0,5,-5,7.18,13.48,-6.3,-8,0,-8,5.86,15.1,-9.24,132.8707793,0.045454545,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Docetaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,130.08,807.9,-677.82,-0.66,2.92,-3.58,2,5,-3,3,14,-11,58.2,0,58.2,0,13,-13,7.18,11.9,-4.72,-8,-3,-5,5.86,0.0127,5.8473,680.6030254,0.038461538,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Doxorubicin Hydrochloride,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,130.08,580,-449.92,-0.66,1.41,-2.07,2,7,-5,3,12,-9,58.2,206,-147.8,0,5,-5,7.18,8.01,-0.83,-8,10.03,-18.03,5.86,1.18,4.68,474.0841734,0.045977011,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Elacestrant Dihydrochloride,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)[C@@H]3CCC4=C(C3)C=CC(=C4)O.Cl.Cl,130.08,531.6,-401.52,-0.66,6.54,-7.2,2,4,-2,3,4,-1,58.2,44.7,13.5,0,10,-10,7.18,10.58,-3.4,-8,9.96,-17.96,5.86,0.00035,5.85965,402.4001211,0.025641026,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Ellence,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,130.08,580,-449.92,-0.66,1.41,-2.07,2,7,-5,3,12,-9,58.2,206,-147.8,0,5,-5,7.18,8.01,-0.83,-8,10.03,-18.03,5.86,1.18,4.68,474.0841734,0.045977011,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Epirubicin Hydrochloride,C[C@H]1[C@@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,130.08,580,-449.92,-0.66,0.54,-1.2,2,7,-5,3,12,-9,58.2,206,-147.8,0,5,-5,7.18,8.01,-0.83,-8,10.03,-18.03,5.86,1.18,4.68,474.081173,0.045977011,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Eribulin,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O,130.08,729.9,-599.82,-0.66,1.26,-1.92,2,2,0,3,12,-9,58.2,146,-87.8,0,4,-4,7.18,14.82,-7.64,-8,9.56,-17.56,5.86,0.0798,5.7802,606.6248369,0.03125,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Eribulin Mesylate,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O.CS(=O)(=O)O,130.08,826,-695.92,-0.66,1.26,-1.92,2,3,-1,3,15,-12,58.2,209,-150.8,0,4,-4,7.18,14.82,-7.64,-8,9.56,-17.56,5.86,0.0798,5.7802,712.467618,0.02970297,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Everolimus,C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OCCO)C)/C)O)OC)C)C)/C)OC,130.08,958.2,-828.12,-0.66,5.01,-5.67,2,3,-1,3,14,-11,58.2,205,-146.8,0,9,-9,7.18,9.96,-2.78,-8,-2.7,-5.3,5.86,0.00163,5.85837,841.2123764,0.041666667,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Exemestane,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,130.08,296.4,-166.32,-0.66,2.67,-3.33,2,0,2,3,2,1,58.2,34.1,24.1,0,0,0,7.18,0,7.18,-8,-5,-3,5.86,0.00683,5.85317,168.3866185,0.071428571,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Fareston,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,130.08,598.1,-468.02,-0.66,5.65,-6.31,2,4,-2,3,9,-6,58.2,145,-86.8,0,14,-14,7.18,0,7.18,-8,8.76,-16.76,5.86,0.000409,5.859591,476.6755304,0.078125,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Faslodex,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,130.08,606.8,-476.72,-0.66,7.57,-8.23,2,2,0,3,9,-6,58.2,76.7,-18.5,0,14,-14,7.18,10.23,-3.05,-8,-0.88,-7.12,5.86,0.00672,5.85328,477.4915696,0.051948052,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Femara,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,130.08,285.3,-155.22,-0.66,1.86,-2.52,2,0,2,3,4,-1,58.2,78.3,-20.1,0,3,-3,7.18,0,7.18,-8,1.89,-9.89,5.86,0.0799,5.7801,157.1635545,0.043478261,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Fluorouracil,C1=C(C(=O)NC(=O)N1)F,130.08,130.08,0,-0.66,-0.58,-0.08,2,2,0,3,3,0,58.2,58.2,0,0,0,0,7.18,7.18,0,-8,-8,0,5.86,5.86,0,0.08,1,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Fluoxymesterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@]2([C@H](C[C@]4([C@H]3CC[C@]4(C)O)C)O)F,130.08,336.4,-206.32,-0.66,2.5,-3.16,2,2,0,3,4,-1,58.2,57.5,0.7,0,0,0,7.18,13.6,-6.42,-8,-3,-5,5.86,0.0452,5.8148,206.590044,0.086206897,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Frindovyx,C1CNP(=O)(OC1)N(CCCl)CCCl,130.08,261.08,-131,-0.66,0.76,-1.42,2,1,1,3,4,-1,58.2,41.6,16.6,0,5,-5,7.18,13.48,-6.3,-8,0,-8,5.86,15.1,-9.24,132.8707793,0.045454545,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Fulvestrant,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,130.08,606.8,-476.72,-0.66,6.54,-7.2,2,2,0,3,9,-6,58.2,76.7,-18.5,0,14,-14,7.18,10.32,-3.14,-8,-0.88,-7.12,5.86,0.00672,5.85328,477.4755107,0.051948052,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Gemcitabine Hydrochloride,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,130.08,299.66,-169.58,-0.66,0.14,-0.8,2,4,-2,3,6,-3,58.2,108,-49.8,0,2,-2,7.18,11.52,-4.34,-8,3.65,-11.65,5.86,22.3,-16.44,177.9884493,0.090909091,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Gemzar,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,130.08,299.66,-169.58,-0.66,0.14,-0.8,2,4,-2,3,6,-3,58.2,108,-49.8,0,2,-2,7.18,11.52,-4.34,-8,3.65,-11.65,5.86,22.3,-16.44,177.9884493,0.090909091,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Goserelin Acetate,CC(C)C[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(=O)N)NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6.CC(=O)O,130.08,1329.5,-1199.42,-0.66,0.3,-0.96,2,18,-16,3,18,-15,58.2,533,-474.8,0,32,-32,7.18,9.36,-2.18,-8,10.91,-18.91,5.86,0.0283,5.8317,1290.715169,0.061068702,0
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Halaven,C[C@@H]1C[C@@H]2CC[C@H]3C(=C)C[C@@H](O3)CC[C@]45C[C@@H]6[C@H](O4)[C@H]7[C@@H](O6)[C@@H](O5)[C@@H]8[C@@H](O7)CC[C@@H](O8)CC(=O)C[C@H]9[C@H](C[C@H](C1=C)O2)O[C@@H]([C@@H]9OC)C[C@@H](CN)O.CS(=O)(=O)O,130.08,826,-695.92,-0.66,1.26,-1.92,2,3,-1,3,15,-12,58.2,209,-150.8,0,4,-4,7.18,14.82,-7.64,-8,9.56,-17.56,5.86,0.0798,5.7802,712.467618,0.02970297,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Ibrance,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,130.08,447.5,-317.42,-0.66,2.12,-2.78,2,2,0,3,8,-5,58.2,103,-44.8,0,5,-5,7.18,11.34,-4.16,-8,8.86,-16.86,5.86,0.0174,5.8426,321.1789625,0.065789474,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Imlunestrant,C1C(CN1CCOC2=CC=C(C=C2)[C@@H]3C4=C5C=CC(=CC5=NC=C4C6=C(O3)C=C(C=C6)C(F)(F)F)O)CF,130.08,524.5,-394.42,-0.66,6,-6.66,2,1,1,3,9,-6,58.2,54.8,3.4,0,6,-6,7.18,0,7.18,-8,0,-8,5.86,0.0253,5.8347,394.772907,0.048780488,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Inavolisib,C[C@@H](C(=O)N)NC1=CC2=C(C=C1)C3=NC(=CN3CCO2)N4[C@@H](COC4=O)C(F)F,130.08,407.4,-277.32,-0.66,1.49,-2.15,2,2,0,3,8,-5,58.2,112,-53.8,0,5,-5,7.18,15.19,-8.01,-8,3.32,-11.32,5.86,0.571,5.289,282.9765378,0.065789474,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Infugem,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F.Cl,130.08,299.66,-169.58,-0.66,0.14,-0.8,2,4,-2,3,6,-3,58.2,108,-49.8,0,2,-2,7.18,11.52,-4.34,-8,3.65,-11.65,5.86,22.3,-16.44,177.9884493,0.090909091,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Itovebi,C[C@@H](C(=O)N)NC1=CC2=C(C=C1)C3=NC(=CN3CCO2)N4[C@@H](COC4=O)C(F)F,130.08,407.4,-277.32,-0.66,1.49,-2.15,2,2,0,3,8,-5,58.2,112,-53.8,0,5,-5,7.18,15.19,-8.01,-8,3.32,-11.32,5.86,0.517,5.343,282.9775522,0.065789474,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Ixabepilone,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](NC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,130.08,506.7,-376.62,-0.66,3.28,-3.94,2,3,-1,3,7,-4,58.2,140,-81.8,0,2,-2,7.18,13.85,-6.67,-8,2.73,-10.73,5.86,0.00352,5.85648,385.6997643,0.075,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Ixempra,C[C@H]1CCC[C@@]2([C@@H](O2)C[C@H](NC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C3=CSC(=N3)C)/C)C,130.08,506.7,-376.62,-0.66,3.28,-3.94,2,3,-1,3,7,-4,58.2,140,-81.8,0,2,-2,7.18,13.85,-6.67,-8,2.73,-10.73,5.86,0.00352,5.85648,385.6997643,0.075,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Kisqali,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5,130.08,434.5,-304.42,-0.66,2.5,-3.16,2,2,0,3,7,-4,58.2,91.2,-33,0,5,-5,7.18,11.59,-4.41,-8,8.87,-16.87,5.86,0.231,5.629,306.8342429,0.053333333,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Kisqali Femara Co-Pack,CN(C)C(=O)C1=CC2=CN=C(N=C2N1C3CCCC3)NC4=NC=C(C=C4)N5CCNCC5.C(CC(=O)O)C(=O)O,130.08,552.6,-422.52,-0.66,2.5,-3.16,2,4,-2,3,11,-8,58.2,166,-107.8,0,8,-8,7.18,11.59,-4.41,-8,8.87,-16.87,5.86,0.231,5.629,436.6024584,0.049382716,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Lapatinib Ditosylate,CC1=CC=C(C=C1)S(=O)(=O)O.CC1=CC=C(C=C1)S(=O)(=O)O.CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl.O,130.08,943.5,-813.42,-0.66,5.18,-5.84,2,5,-3,3,16,-13,58.2,241,-182.8,0,13,-13,7.18,16.44,-9.26,-8,7.26,-15.26,5.86,0.0223,5.8377,834.1473107,0.050505051,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,130.08,285.3,-155.22,-0.66,2.94,-3.6,2,0,2,3,4,-1,58.2,78.3,-20.1,0,3,-3,7.18,0,7.18,-8,1.89,-9.89,5.86,0.0799,5.7801,157.1845808,0.043478261,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Lynparza,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,130.08,434.5,-304.42,-0.66,2.72,-3.38,2,1,1,3,5,-2,58.2,82.1,-23.9,0,4,-4,7.18,9.96,-2.78,-8,-0.9,-7.1,5.86,0.0601,5.7999,305.5600564,0.158730159,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Megestrol Acetate,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,130.08,384.5,-254.42,-0.66,3.71,-4.37,2,0,2,3,4,-1,58.2,60.4,-2.2,0,3,-3,7.18,17.83,-10.65,-8,-4.9,-3.1,5.86,0.00336,5.85664,254.8034655,0.063492063,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,130.08,454.4,-324.32,-0.66,-0.05,-0.61,2,5,-3,3,12,-9,58.2,211,-152.8,0,9,-9,7.18,2.95,4.23,-8,14.55,-22.55,5.86,0.0819,5.7781,359.5308837,0.054794521,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Methyl testosterone,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@]4(C)O)C,130.08,302.5,-172.42,-0.66,3.61,-4.27,2,1,1,3,2,1,58.2,37.3,20.9,0,0,0,7.18,18.52,-11.34,-8,-0.53,-7.47,5.86,0.0139,5.8461,174.3682101,0.075471698,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Neratinib Maleate,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C.C(=C\C(=O)O)\C(=O)O,130.08,673.1,-543.02,-0.66,4.72,-5.38,2,4,-2,3,12,-9,58.2,187,-128.8,0,13,-13,7.18,12.55,-5.37,-8,8.81,-16.81,5.86,0.00674,5.85326,558.6490656,0.030612245,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Nerlynx,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C,130.08,557,-426.92,-0.66,4.72,-5.38,2,2,0,3,8,-5,58.2,112,-53.8,0,11,-11,7.18,12.55,-5.37,-8,8.81,-16.81,5.86,0.00674,5.85326,430.9010843,0.031914894,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Olaparib,C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F,130.08,434.5,-304.42,-0.66,2.72,-3.38,2,1,1,3,5,-2,58.2,82.1,-23.9,0,4,-4,7.18,9.96,-2.78,-8,-0.9,-7.1,5.86,0.0601,5.7999,305.5600564,0.158730159,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Orserdu,CCNCCC1=CC=C(C=C1)CN(CC)C2=C(C=CC(=C2)OC)[C@@H]3CCC4=C(C3)C=CC(=C4)O,130.08,458.6,-328.52,-0.66,6.54,-7.2,2,2,0,3,4,-1,58.2,44.7,13.5,0,10,-10,7.18,10.58,-3.4,-8,9.96,-17.96,5.86,0.00035,5.85965,329.5890434,0.025974026,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Paclitaxel,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,130.08,853.9,-723.82,-0.66,3.2,-3.86,2,4,-2,3,14,-11,58.2,221,-162.8,0,14,-14,7.18,11.9,-4.72,-8,-1.2,-6.8,5.86,0.00556,5.85444,742.1980362,0.03960396,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Paclitaxel protein-bound,CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C,130.08,853.9,-723.82,-0.66,3.2,-3.86,2,4,-2,3,14,-11,58.2,221,-162.8,0,14,-14,7.18,11.9,-4.72,-8,-1.2,-6.8,5.86,0.00556,5.85444,742.1980362,0.03960396,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Palbociclib,CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C,130.08,447.5,-317.42,-0.66,2.12,-2.78,2,2,0,3,8,-5,58.2,103,-44.8,0,5,-5,7.18,11.34,-4.16,-8,8.86,-16.86,5.86,0.0174,5.8426,321.1789625,0.065789474,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Pamidronate,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O,130.08,235.7,-105.62,-0.66,-1.4,0.74,2,6,-4,3,8,-5,58.2,161,-102.8,0,4,-4,7.18,0.67,6.51,-8,9.86,-17.86,5.86,15.8,-9.94,149.1346214,0.057142857,1
5-Fluorouracil,C1=C(C(=O)NC(=O)N1)F,Pamidronate Disodium,C(CN)C(O)(P(=O)(O)[O-])P(=O)(O)[O-].[Na+].[Na+],130.08,279.03,-148.95,-0.66,-1.4,0.74,2,4,-2,3,8,-5,58.2,167,-108.8,0,4,-4,7.18,0.67,6.51,-8,9.86,-17.86,5.86,15.8,-9.94,185.820487,0.052631579,1
